가수,제목
aespa,Supernova
IVE (아이브),해야 (HEYA)
지코 (ZICO),SPOT! (feat. JENNIE)
아일릿(ILLIT),Magnetic
이클립스 (ECLIPSE),소나기
QWER,고민중독
(여자)아이들,나는 아픈 건 딱 질색이니까
TWS (투어스),첫 만남은 계획대로 되지 않아
BABYMONSTER,SHEESH
Crush,미안해 미워해 사랑해
비비(BIBI),밤양갱
DAY6 (데이식스),한 페이지가 될 수 있게
DAY6 (데이식스),Welcome to the Show
아일릿(ILLIT),Lucky Girl Syndrome
이클립스 (ECLIPSE),Run Run
IVE (아이브),Accendio
KISS OF LIFE,Midas Touch
NewJeans,ETA
NewJeans,Attention
아이유(IU),Love wins all
NewJeans,Hype Boy
DAY6 (데이식스),예뻤어
세븐틴(SEVENTEEN),MAESTRO
이무진,에피소드
NewJeans,Ditto
이창섭,천상연
태연 (TAEYEON),To. X
IVE (아이브),I AM
tripleS (트리플에스),Girls Never Die
마크 (MARK),200
NewJeans,Super Shy
유회승 (엔플라잉),그랬나봐
RIIZE,Impossible
임재현,비의 랩소디
aespa,Drama
이클립스 (ECLIPSE),You & I
NewJeans,OMG
도영 (DOYOUNG),반딧불 (Little Light)
엔플라잉(N.Flying),Star
LE SSERAFIM (르세라핌),Smart
LE SSERAFIM (르세라핌),EASY
RIIZE,Siren
너드커넥션(Nerd Connection),그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection))
NewJeans,New Jeans
VIVIZ (비비지),MANIAC
DAY6 (데이식스),HAPPY
RIIZE,Get A Guitar
DAY6 (데이식스),Love me or Leave me
RIIZE,Love 119
이클립스 (ECLIPSE),만날테니까
10CM,봄눈
aespa,Spicy
헤이즈(Heize),멈춰줘
박재정,헤어지자 말해요
아이유(IU),홀씨
이클립스 (ECLIPSE),I'll Be There
태연 (TAEYEON),꿈
Lauv(라우브),Steal The Show (From “엘리멘탈”)
LE SSERAFIM (르세라핌),Perfect Night
QWER,Discord
IVE (아이브),LOVE DIVE
Charlie Puth(찰리 푸스),Dangerously
IVE (아이브),Kitsch
IVE (아이브),After LIKE
,내 입술 따뜻한 커피처럼
제니 (JENNIE),You & Me
범진,인사
도경수(D.O.),Mars
정국,Seven (feat. Latto) - Clean Ver.
Ayumu Imazu,Obsessed
Crush,By Your Side
AKMU(악뮤),Love Lee
성시경,너의 모든 순간
폴킴(Paul Kim),"모든 날, 모든 순간 (Every day, Every Moment)"
윤하(Younha/ユンナ),사건의 지평선
(여자)아이들,Wife
그루비룸 (GroovyRoom),"Yes or No (Feat. 허윤진 of LE SSERAFIM, Crush)"
부석순(SEVENTEEN),자꾸만 웃게 돼
김형중,그랬나봐
도경수(D.O.),Popcorn
PITTA (강형호),G.T.H.O.
(여자)아이들,Super Lady
AKMU(악뮤),후라이의 꿈
멜로망스(MeloMance),사랑인가 봐
NMIXX,DASH
민니 ((여자)아이들),꿈결같아서
Charlie Puth(찰리 푸스),I Don’t Think That I Like Her
폴킴(Paul Kim),좋아해요
최유리,숲
아이유(IU),Shopper
IVE (아이브),Baddie
웬디(WENDY),Wish You Hell
잔나비,주저하는 연인들을 위해
H1-KEY (하이키),건물 사이에 피어난 장미 (Rose Blossom)
(여자)아이들,퀸카 (Queencard)
세븐틴(SEVENTEEN),청춘찬가
우디(Woody),혹시 세상에 혼자 남겨진 것 같다면
임영웅,사랑은 늘 도망가
ZEROBASEONE (제로베이스원),Feel the POP
아이유(IU),관객이 될게 (I stan U)
